,region,incgroup4,IGEincome
0,East Asia & Pacific,Lower middle income,0.5276651666666666
1,East Asia & Pacific,Upper middle income,0.46950000000000003
2,Europe & Central Asia,Lower middle income,0.42481735
3,Europe & Central Asia,Upper middle income,0.47717102857142857
4,High income,High income,0.3461633375
5,Latin America & Caribbean,Lower middle income,0.94073685
6,Latin America & Caribbean,Upper middle income,0.87885232
7,Middle East & North Africa,Lower middle income,0.9164609
8,Middle East & North Africa,Upper middle income,0.5173975000000001
9,South Asia,Low income,0.436
10,South Asia,Lower middle income,0.5281666666666666
11,South Asia,Upper middle income,0.4
12,Sub-Saharan Africa,Low income,0.6736299500000001
13,Sub-Saharan Africa,Lower middle income,0.6299757333333332
14,Sub-Saharan Africa,Upper middle income,0.677
